filing_date,negative,positive,words,sentiment,sentiment.ratio,positive.ratio,negative.ratio,Year,TICKER
2019-03-08T00:00:00Z,1090,1834,71453,744,0.010412439,0.025667222,0.015254783,2019,XRAY
2011-02-09T00:00:00Z,389,543,30526,154,0.00504488,0.017788115,0.012743235,2011,FAST
2012-02-09T00:00:00Z,382,556,30600,174,0.005686275,0.018169935,0.01248366,2012,FAST
2013-02-07T00:00:00Z,393,577,30613,184,0.006010518,0.018848202,0.012837683,2013,FAST
2014-02-06T00:00:00Z,401,593,31261,192,0.006141838,0.018969323,0.012827485,2014,FAST
2015-02-05T00:00:00Z,398,552,31100,154,0.004951768,0.017749196,0.012797428,2015,FAST
2016-02-05T00:00:00Z,452,578,33070,126,0.0038101,0.017478077,0.013667977,2016,FAST
2017-02-06T00:00:00Z,470,663,35438,193,0.005446131,0.018708731,0.013262599,2017,FAST
2018-02-05T00:00:00Z,475,655,34882,180,0.005160255,0.018777593,0.013617338,2018,FAST
2019-02-06T00:00:00Z,471,667,35085,196,0.005586433,0.019010973,0.01342454,2019,FAST
2010-02-23T00:00:00Z,1093,1721,72671,628,0.008641687,0.023682074,0.015040387,2010,DTE
2011-02-18T00:00:00Z,1081,1652,72772,571,0.007846424,0.022701039,0.014854614,2011,DTE
2012-02-16T00:00:00Z,971,1518,66491,547,0.008226677,0.022830157,0.01460348,2012,DTE
2013-02-20T00:00:00Z,887,1374,62106,487,0.007841432,0.022123466,0.014282034,2013,DTE
2014-02-14T00:00:00Z,924,1386,62394,462,0.007404558,0.022213674,0.014809116,2014,DTE
2015-02-13T00:00:00Z,877,1308,59329,431,0.007264576,0.022046554,0.014781978,2015,DTE
2016-02-10T00:00:00Z,979,1539,71491,560,0.007833154,0.021527185,0.013694031,2016,DTE
2017-02-09T00:00:00Z,1019,1588,74981,569,0.007588589,0.021178699,0.013590109,2017,DTE
2018-02-16T00:00:00Z,975,1530,74177,555,0.007482104,0.02062634,0.013144236,2018,DTE
2019-02-07T00:00:00Z,1003,1557,76469,554,0.007244766,0.020361192,0.013116426,2019,DTE
2010-03-01T00:00:00Z,1748,2009,92431,261,0.002823728,0.021735132,0.018911404,2010,SIVB
2011-02-25T00:00:00Z,1674,2045,91212,371,0.004067447,0.022420296,0.018352848,2011,SIVB
2012-02-28T00:00:00Z,1587,2009,86120,422,0.004900139,0.023327915,0.018427775,2012,SIVB
2013-02-27T00:00:00Z,1500,1977,83962,477,0.005681141,0.023546366,0.017865225,2013,SIVB
2014-02-27T00:00:00Z,1563,2068,86704,505,0.005824414,0.023851264,0.01802685,2014,SIVB
2015-02-26T00:00:00Z,1679,2105,89517,426,0.004758873,0.023515087,0.018756214,2015,SIVB
2016-02-26T00:00:00Z,1827,2255,95316,428,0.004490327,0.023658148,0.019167821,2016,SIVB
2017-02-28T00:00:00Z,1842,2225,95493,383,0.004010765,0.023300137,0.019289372,2017,SIVB
2018-02-28T00:00:00Z,1877,2233,97516,356,0.003650683,0.022898806,0.019248123,2018,SIVB
2019-02-28T00:00:00Z,1900,2265,100260,365,0.003640535,0.022591263,0.018950728,2019,SIVB
2011-02-25T00:00:00Z,709,1101,56819,392,0.006899101,0.019377321,0.01247822,2011,XOM
2012-02-24T00:00:00Z,693,1053,55047,360,0.006539866,0.019129108,0.012589242,2012,XOM
2013-02-27T00:00:00Z,659,1061,51801,402,0.007760468,0.02048223,0.012721762,2013,XOM
2014-02-26T00:00:00Z,637,1033,51493,396,0.007690366,0.020060979,0.012370613,2014,XOM
2015-02-25T00:00:00Z,665,1044,52361,379,0.007238212,0.019938504,0.012700292,2015,XOM
2016-02-24T00:00:00Z,689,1054,53956,365,0.006764771,0.019534435,0.012769664,2016,XOM
2017-02-22T00:00:00Z,698,1106,56321,408,0.00724419,0.019637435,0.012393246,2017,XOM
2018-02-28T00:00:00Z,740,1198,58392,458,0.00784354,0.020516509,0.012672969,2018,XOM
2019-02-27T00:00:00Z,738,1184,56677,446,0.007869153,0.020890308,0.013021155,2019,XOM
2006-03-15T00:00:00Z,1008,1065,73201,57,0.000778678,0.014548982,0.013770304,2006,MGG
2007-02-28T00:00:00Z,1220,1364,83025,144,0.001734417,0.016428787,0.014694369,2007,MGG
2008-02-28T00:00:00Z,1238,1355,79904,117,0.001464257,0.016957849,0.015493592,2008,MGG
2009-02-26T00:00:00Z,1156,1254,68969,98,0.001420928,0.018182082,0.016761154,2009,MGG
2010-02-26T00:00:00Z,915,1191,54141,276,0.0050978,0.021998116,0.016900316,2010,MGM
2011-02-28T00:00:00Z,965,1276,59324,311,0.005242398,0.021509001,0.016266604,2011,MGM
2012-02-29T00:00:00Z,1222,1819,73631,597,0.008107998,0.024704269,0.016596271,2012,MGM
2013-03-01T00:00:00Z,1237,1826,73669,589,0.007995222,0.024786545,0.016791323,2013,MGM
2014-03-03T00:00:00Z,1270,1822,73362,552,0.007524331,0.024835746,0.017311415,2014,MGM
2015-03-02T00:00:00Z,1125,1609,68449,484,0.007070958,0.023506552,0.016435594,2015,MGM
2016-02-29T00:00:00Z,1095,1649,68453,554,0.008093144,0.024089521,0.015996377,2016,MGM
2017-03-01T00:00:00Z,1143,1936,78201,793,0.010140535,0.024756717,0.014616181,2017,MGM
2018-03-01T00:00:00Z,1052,1700,69284,648,0.009352809,0.02453669,0.015183881,2018,MGM
2019-02-27T00:00:00Z,991,1545,64896,554,0.008536736,0.023807322,0.015270587,2019,MGM
2010-08-19T00:00:00Z,829,994,45244,165,0.003646892,0.021969764,0.018322872,2010,MXIM
2011-08-08T00:00:00Z,755,892,41594,137,0.003293744,0.021445401,0.018151656,2011,MXIM
2012-08-17T00:00:00Z,768,817,38583,49,0.001269989,0.021175129,0.01990514,2012,MXIM
2013-08-13T00:00:00Z,758,877,38506,119,0.003090427,0.022775671,0.019685244,2013,MXIM
2014-08-18T00:00:00Z,771,871,39986,100,0.002500875,0.021782624,0.019281749,2014,MXIM
2015-08-18T00:00:00Z,804,1020,43252,216,0.004993989,0.023582724,0.018588736,2015,MXIM
2016-08-12T00:00:00Z,826,989,43018,163,0.003789112,0.022990376,0.019201265,2016,MXIM
2017-08-11T00:00:00Z,777,992,42033,215,0.005115029,0.023600504,0.018485476,2017,MXIM
2018-08-17T00:00:00Z,793,954,41474,161,0.00388195,0.023002363,0.019120413,2018,MXIM
2010-08-19T00:00:00Z,829,994,45244,165,0.003646892,0.021969764,0.018322872,2010,
2011-08-08T00:00:00Z,755,892,41594,137,0.003293744,0.021445401,0.018151656,2011,
2012-08-17T00:00:00Z,768,817,38583,49,0.001269989,0.021175129,0.01990514,2012,
2013-08-13T00:00:00Z,758,877,38506,119,0.003090427,0.022775671,0.019685244,2013,
2014-08-18T00:00:00Z,771,871,39986,100,0.002500875,0.021782624,0.019281749,2014,
2015-08-18T00:00:00Z,804,1020,43252,216,0.004993989,0.023582724,0.018588736,2015,
2016-08-12T00:00:00Z,826,989,43018,163,0.003789112,0.022990376,0.019201265,2016,
2017-08-11T00:00:00Z,777,992,42033,215,0.005115029,0.023600504,0.018485476,2017,
2018-08-17T00:00:00Z,793,954,41474,161,0.00388195,0.023002363,0.019120413,2018,
2011-02-17T00:00:00Z,1474,1690,76281,216,0.002831636,0.022154927,0.019323292,2011,WM
2012-02-16T00:00:00Z,1594,1751,82269,157,0.001908374,0.021283837,0.019375463,2012,WM
2013-02-14T00:00:00Z,1661,1835,83751,174,0.002077587,0.021910186,0.019832599,2013,WM
2014-02-18T00:00:00Z,1757,1953,87464,196,0.002240922,0.022329187,0.020088265,2014,WM
2015-02-17T00:00:00Z,1664,1906,83912,242,0.002883974,0.022714272,0.019830298,2015,WM
2016-02-18T00:00:00Z,1604,1836,81109,232,0.002860348,0.022636206,0.019775857,2016,WM
2017-02-16T00:00:00Z,1576,1754,78627,178,0.002263853,0.022307859,0.020044005,2017,WM
2018-02-15T00:00:00Z,1475,1655,73059,180,0.002463762,0.022652924,0.020189162,2018,WM
2019-02-14T00:00:00Z,1472,1535,70282,63,0.000896389,0.021840585,0.020944196,2019,WM
2010-02-19T00:00:00Z,520,1148,46384,628,0.013539151,0.024749914,0.011210762,2010,GD
2011-02-18T00:00:00Z,520,1179,45599,659,0.014452071,0.02585583,0.011403759,2011,GD
2012-02-17T00:00:00Z,505,1098,45752,593,0.012961182,0.023998951,0.011037769,2012,GD
2013-02-08T00:00:00Z,560,1083,43222,523,0.012100319,0.025056684,0.012956365,2013,GD
2014-02-07T00:00:00Z,532,1034,40421,502,0.012419287,0.025580762,0.013161475,2014,GD
2015-02-09T00:00:00Z,494,1003,39388,509,0.012922718,0.025464609,0.012541891,2015,GD
2016-02-08T00:00:00Z,478,1066,41066,588,0.014318414,0.025958214,0.011639799,2016,GD
2017-02-06T00:00:00Z,487,1126,44132,639,0.014479289,0.025514366,0.011035077,2017,GD
2018-02-12T00:00:00Z,498,1165,45853,667,0.014546486,0.02540728,0.010860794,2018,GD
2019-02-13T00:00:00Z,535,1286,49392,751,0.015204891,0.026036605,0.010831714,2019,GD
2010-02-19T00:00:00Z,1502,1805,88827,303,0.003411125,0.020320398,0.016909273,2010,GE
2011-02-25T00:00:00Z,1779,1972,102399,193,0.001884784,0.019258001,0.017373217,2011,GE
2012-02-24T00:00:00Z,1767,1942,100737,175,0.001737197,0.019277922,0.017540725,2012,GE
2013-02-26T00:00:00Z,1827,1953,102065,126,0.001234507,0.019134865,0.017900358,2013,GE
2014-02-27T00:00:00Z,1835,1957,102901,122,0.001185606,0.01901828,0.017832674,2014,GE
2015-02-27T00:00:00Z,1740,1934,97668,194,0.001986321,0.019801777,0.017815456,2015,GE
2016-02-26T00:00:00Z,1706,1938,94991,232,0.002442337,0.020401933,0.017959596,2016,GE
2017-02-24T00:00:00Z,1679,2073,100690,394,0.003913,0.020587943,0.016674943,2017,GE
2018-02-23T00:00:00Z,1685,2262,106201,577,0.005433094,0.021299234,0.015866141,2018,GE
2019-02-26T00:00:00Z,1738,2404,106003,666,0.006282841,0.022678603,0.016395762,2019,GE
2012-02-24T00:00:00Z,861,1217,52090,356,0.006834325,0.023363409,0.016529084,2012,LH
2013-02-26T00:00:00Z,841,1225,53624,384,0.007160973,0.022844249,0.015683276,2013,LH
2014-02-25T00:00:00Z,946,1257,56682,311,0.005486751,0.022176352,0.016689602,2014,LH
2015-02-26T00:00:00Z,1216,1589,72220,373,0.005164774,0.022002215,0.016837441,2015,LH
2016-02-29T00:00:00Z,1372,1675,82068,303,0.00369206,0.020409904,0.016717844,2016,LH
2017-02-27T00:00:00Z,1362,1722,81720,360,0.004405286,0.021071953,0.016666667,2017,LH
2018-02-27T00:00:00Z,1457,1918,87884,461,0.005245551,0.021824223,0.016578672,2018,LH
2019-02-28T00:00:00Z,1573,1975,92390,402,0.00435112,0.021376772,0.017025652,2019,LH
2010-03-01T00:00:00Z,1169,1727,75353,558,0.007405146,0.022918796,0.015513649,2010,PBCT
2011-03-01T00:00:00Z,1456,1949,85697,493,0.005752827,0.02274292,0.016990093,2011,PBCT
2012-02-29T00:00:00Z,1610,1984,91769,374,0.00407545,0.021619501,0.017544051,2012,PBCT
2013-03-01T00:00:00Z,1697,2019,94418,322,0.003410367,0.021383634,0.017973268,2013,PBCT
2014-03-03T00:00:00Z,1551,1960,90239,409,0.004532408,0.021720099,0.01718769,2014,PBCT
2015-03-02T00:00:00Z,1469,1947,87024,478,0.005492738,0.022373138,0.016880401,2015,PBCT
2016-02-29T00:00:00Z,1420,1820,86129,400,0.004644196,0.021131094,0.016486898,2016,PBCT
