filing_date,negative,positive,words,sentiment,sentiment.ratio,positive.ratio,negative.ratio,Year,TICKER
2014-02-26T00:00:00Z,2111,2441,124759,330,0.0026451,0.019565723,0.016920623,2014,AES
2015-02-26T00:00:00Z,2216,2544,131611,328,0.002492193,0.019329691,0.016837498,2015,AES
2016-02-24T00:00:00Z,2167,2670,135569,503,0.003710288,0.019694768,0.01598448,2016,AES
2017-02-27T00:00:00Z,2041,2451,124193,410,0.003301313,0.019735412,0.016434099,2017,AES
2018-02-27T00:00:00Z,1989,2135,111583,146,0.001308443,0.019133739,0.017825296,2018,AES
2019-02-27T00:00:00Z,2017,2167,115274,150,0.001301247,0.018798688,0.017497441,2019,AES
2015-02-23T00:00:00Z,474,864,39060,390,0.009984639,0.022119816,0.012135177,2015,AMG
2016-02-25T00:00:00Z,514,946,40599,432,0.010640656,0.023301067,0.01266041,2016,AMG
2017-02-24T00:00:00Z,522,1021,43791,499,0.011395036,0.023315293,0.011920258,2017,AMG
2018-02-23T00:00:00Z,508,1001,42786,493,0.011522461,0.023395503,0.011873043,2018,AMG
2019-02-22T00:00:00Z,532,1001,43692,469,0.010734231,0.022910373,0.012176142,2019,AMG
2010-02-26T00:00:00Z,1332,1630,71307,298,0.004179113,0.022858906,0.018679793,2010,AFL
2011-02-25T00:00:00Z,1394,1693,73496,299,0.004068249,0.023035267,0.018967019,2011,AFL
2012-02-27T00:00:00Z,1556,1837,81430,281,0.003450817,0.022559253,0.019108437,2012,AFL
2013-02-27T00:00:00Z,1584,1941,85308,357,0.004184836,0.022752849,0.018568012,2013,AFL
2014-02-27T00:00:00Z,1643,2049,88526,406,0.004586223,0.023145742,0.018559519,2014,AFL
2015-02-26T00:00:00Z,1664,2126,89537,462,0.005159878,0.023744374,0.018584496,2015,AFL
2016-02-25T00:00:00Z,1834,2256,93953,422,0.004491608,0.024012006,0.019520398,2016,AFL
2017-02-24T00:00:00Z,1767,2282,91154,515,0.005649779,0.025034557,0.019384777,2017,AFL
2018-02-23T00:00:00Z,1874,2392,98237,518,0.005272962,0.024349278,0.019076315,2018,AFL
2019-02-25T00:00:00Z,1965,2590,107558,625,0.005810818,0.024080031,0.018269213,2019,AFL
2009-12-21T00:00:00Z,958,1533,61281,575,0.009383006,0.02501591,0.015632904,2009,A
2010-12-20T00:00:00Z,915,1630,63628,715,0.011237191,0.025617653,0.014380461,2010,A
2011-12-16T00:00:00Z,844,1591,62184,747,0.012012736,0.02558536,0.013572623,2011,A
2012-12-20T00:00:00Z,898,1644,66800,746,0.011167665,0.024610778,0.013443114,2012,A
2013-12-19T00:00:00Z,913,1636,66800,723,0.010823353,0.024491018,0.013667665,2013,A
2014-12-22T00:00:00Z,946,1754,71387,808,0.011318587,0.0245703,0.013251712,2014,A
2015-12-21T00:00:00Z,1038,1665,67879,627,0.009237025,0.024528941,0.015291916,2015,A
2016-12-20T00:00:00Z,964,1647,65314,683,0.010457176,0.025216646,0.01475947,2016,A
2017-12-21T00:00:00Z,895,1578,62058,683,0.011005833,0.025427826,0.014421992,2017,A
2018-12-20T00:00:00Z,863,1574,62037,711,0.011460902,0.025371955,0.013911053,2018,A
2009-11-25T00:00:00Z,840,1098,50091,258,0.005150626,0.021920105,0.01676948,2009,APD
2010-11-23T00:00:00Z,865,1268,54092,403,0.00745027,0.023441544,0.015991274,2010,APD
2011-11-22T00:00:00Z,826,1276,53992,450,0.008334568,0.023633131,0.015298563,2011,APD
2012-11-20T00:00:00Z,872,1290,56451,418,0.007404652,0.022851677,0.015447025,2012,APD
2013-11-26T00:00:00Z,880,1304,56767,424,0.007469128,0.022971092,0.015501964,2013,APD
2014-11-24T00:00:00Z,916,1371,57786,455,0.007873879,0.02372547,0.01585159,2014,APD
2015-11-24T00:00:00Z,275,345,15224,70,0.004598003,0.022661587,0.018063584,2015,APD
2016-11-21T00:00:00Z,321,343,15965,22,0.001378014,0.021484497,0.020106483,2016,APD
2017-11-16T00:00:00Z,1165,1595,64508,430,0.00666584,0.024725615,0.018059776,2017,APD
2018-11-20T00:00:00Z,1092,1568,68299,476,0.006969355,0.022957876,0.015988521,2018,APD
2011-03-01T00:00:00Z,848,1215,53170,367,0.006902389,0.022851232,0.015948843,2011,AKAM
2012-02-29T00:00:00Z,810,1140,47405,330,0.006961291,0.024048096,0.017086805,2012,AKAM
2013-03-01T00:00:00Z,764,1225,48039,461,0.00959637,0.025500114,0.015903745,2013,AKAM
2014-03-03T00:00:00Z,690,1101,45050,411,0.009123196,0.024439512,0.015316315,2014,AKAM
2015-03-02T00:00:00Z,701,1143,46559,442,0.009493331,0.024549496,0.015056165,2015,AKAM
2016-02-29T00:00:00Z,701,1130,46353,429,0.009255064,0.024378142,0.015123077,2016,AKAM
2017-02-28T00:00:00Z,743,1167,47076,424,0.009006713,0.024789702,0.015782989,2017,AKAM
2018-03-01T00:00:00Z,749,1203,48964,454,0.009272118,0.024569071,0.015296953,2018,AKAM
2019-02-28T00:00:00Z,725,1194,49823,469,0.009413323,0.023964836,0.014551512,2019,AKAM
2010-02-19T00:00:00Z,789,997,46836,208,0.004441028,0.021287044,0.016846016,2010,ALK
